suite	count	threads	batch	mode	inproc_sleep_ms	recv_sleep_ms	recv_verify	n_total	n_ok	n_fail	wall_ms_q25	wall_ms_median	wall_ms_q75	throughput_tx_s_q25	throughput_tx_s_median	throughput_tx_s_q75	sum_build_ms_q25	sum_build_ms_median	sum_build_ms_q75	sum_pack_ms_q25	sum_pack_ms_median	sum_pack_ms_q75	sum_submit_ack_ms_q25	sum_submit_ack_ms_median	sum_submit_ack_ms_q75	sum_inproc_ms_q25	sum_inproc_ms_median	sum_inproc_ms_q75	bench_oneway_ms_q25	bench_oneway_ms_median	bench_oneway_ms_q75	submitted_q25	submitted_median	submitted_q75	batches_q25	batches_median	batches_q75	host	nproc
standard	1024	12	128	inproc	0	NA	NA	3	3	0	137.670044	144.614014	166.025025	6272.057635	7080.918190	7457.045767	935.577636	993.260498	1021.291015	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.001465	0.001953	0.002442				1024.000000	1024.000000	1024.000000	8.000000	8.000000	8.000000	Ada	12
standard	1024	12	128	zmq	NA	0	0	3	3	0	77.604492	80.244141	81.746094	12530.822616	12761.056347	13210.396341	507.120483	521.072998	523.513550	0.389038	0.403320	0.411621	6.726562	6.986328	7.064331	0.000000	0.000000	0.000000	0.344475	0.361803	0.375530	1024.000000	1024.000000	1024.000000	8.000000	8.000000	8.000000	Ada	12
standard	1024	12	128	zmq	NA	0	1	3	3	0	80.512085	82.029053	93.007569	11165.426755	12483.381995	12723.104257	516.656982	522.365967	598.220581	0.342774	0.345947	0.348999	6.953613	7.107178	7.246704	0.000000	0.000000	0.000000	0.443633	0.454923	0.458447	1024.000000	1024.000000	1024.000000	8.000000	8.000000	8.000000	Ada	12
standard	1024	12	16	inproc	0	NA	NA	3	3	0	114.176513	123.720947	124.473999	8226.918784	8276.690590	9031.682020	1144.207153	1219.792236	1242.172973	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.013794	0.014648	0.015259				1024.000000	1024.000000	1024.000000	64.000000	64.000000	64.000000	Ada	12
standard	1024	12	16	zmq	NA	0	0	3	3	0	65.794556	68.002197	68.239624	15006.126000	15058.336953	15581.139665	606.388062	626.480469	639.817383	0.372192	0.377930	0.382568	36.326050	50.231934	53.825195	0.000000	0.000000	0.000000				1024.000000	1024.000000	1024.000000	64.000000	64.000000	64.000000	Ada	12
standard	1024	12	16	zmq	NA	0	1	3	3	0	67.704956	69.541016	70.088989	14610.891194	14725.122876	15135.577646	635.823608	641.013428	648.453003	0.414795	0.449219	0.471070	30.096558	31.834229	35.768433	0.000000	0.000000	0.000000				1024.000000	1024.000000	1024.000000	64.000000	64.000000	64.000000	Ada	12
standard	1024	12	32	inproc	0	NA	NA	3	3	0	118.992065	119.551025	162.619506	6771.897256	8565.380319	8605.805711	1156.534302	1181.647461	1522.730835	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.009155	0.010986	0.011474				1024.000000	1024.000000	1024.000000	32.000000	32.000000	32.000000	Ada	12
standard	1024	12	32	zmq	NA	0	0	3	3	0	71.077026	71.972900	73.915893	13863.162654	14227.577247	14409.194625	661.489014	667.655029	667.746460	0.346801	0.365234	0.396606	12.818848	13.678955	16.067017	0.000000	0.000000	0.000000	0.252335	0.277209	3.651959	1024.000000	1024.000000	1024.000000	32.000000	32.000000	32.000000	Ada	12
standard	1024	12	32	zmq	NA	0	1	3	3	0	74.370117	78.974121	84.598511	12157.970603	12966.272822	13821.942831	669.752930	701.185303	800.680542	0.454590	0.468018	0.477784	21.382812	21.897705	31.102295	0.000000	0.000000	0.000000	0.249424	0.296078	0.316905	1024.000000	1024.000000	1024.000000	32.000000	32.000000	32.000000	Ada	12
standard	1024	12	64	inproc	0	NA	NA	3	3	0	136.578980	141.205811	144.558838	7087.433925	7251.826225	7506.107608	1159.062988	1251.963379	1274.098999	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.003052	0.005127	0.005493				1024.000000	1024.000000	1024.000000	16.000000	16.000000	16.000000	Ada	12
standard	1024	12	64	zmq	NA	0	0	3	3	0	80.926391	81.044922	90.144409	11476.491471	12634.968068	12653.501243	638.151489	658.040771	710.317139	0.408936	0.448486	0.475830	9.735352	11.621582	12.167725	0.000000	0.000000	0.000000	0.250897	0.258389	0.310325	1024.000000	1024.000000	1024.000000	16.000000	16.000000	16.000000	Ada	12
standard	1024	12	64	zmq	NA	0	1	3	3	0	86.889038	88.165039	119.412964	9205.650985	11614.581141	11787.688151	658.161988	695.473389	971.989868	0.478882	0.480713	0.618042	14.168701	15.245605	17.517090	0.000000	0.000000	0.000000	0.402823	0.416517	0.540158	1024.000000	1024.000000	1024.000000	16.000000	16.000000	16.000000	Ada	12
standard	1024	12	8	inproc	0	NA	NA	3	3	0	106.602539	111.404053	116.359009	8816.337004	9191.766142	9625.301960	1145.615722	1192.036621	1195.680420	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.023926	0.026123	0.026611				1024.000000	1024.000000	1024.000000	128.000000	128.000000	128.000000	Ada	12
standard	1024	12	8	zmq	NA	0	0	3	3	0	73.684571	76.585938	94.829468	11213.348748	13370.600836	13918.654906	667.898560	678.243408	887.473144	0.477417	0.488037	0.656006	74.727173	77.564209	108.612549	0.000000	0.000000	0.000000				1024.000000	1024.000000	1024.000000	128.000000	128.000000	128.000000	Ada	12
standard	1024	12	8	zmq	NA	0	1	3	3	0	88.229004	90.975098	91.290039	11217.129471	11255.827434	11617.415000	670.663208	722.691650	768.415894	0.479614	0.496094	0.567139	72.353272	73.865723	117.733520	0.000000	0.000000	0.000000				1024.000000	1024.000000	1024.000000	128.000000	128.000000	128.000000	Ada	12
standard	1024	2	128	inproc	0	NA	NA	3	3	0	363.447876	451.401855	508.875000	2038.281911	2268.488682	2992.724716	717.500122	895.036133	959.879516	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.003052	0.003906	0.004394				1024.000000	1024.000000	1024.000000	8.000000	8.000000	8.000000	Ada	12
standard	1024	2	128	zmq	NA	0	0	3	3	0	258.386353	279.387939	403.711426	2802.210171	3665.154631	3989.413280	497.620483	531.613037	781.783325	0.245850	0.282227	0.343018	7.285400	7.658936	8.511353	0.000000	0.000000	0.000000				1024.000000	1024.000000	1024.000000	8.000000	8.000000	8.000000	Ada	12
standard	1024	2	128	zmq	NA	0	1	3	3	0	339.557006	358.833984	989.875000	1742.714448	2853.687345	3025.444750	511.319824	622.242676	660.399170	0.260132	0.298584	0.301026	8.022461	8.079102	1401.680176	0.000000	0.000000	0.000000				1024.000000	1024.000000	1024.000000	8.000000	8.000000	8.000000	Ada	12
standard	1024	2	16	inproc	0	NA	NA	3	3	0	446.490478	546.792969	547.140015	1871.550946	1872.738054	2415.334263	880.910523	1074.583740	1082.917603	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.017944	0.018066	0.025390				1024.000000	1024.000000	1024.000000	64.000000	64.000000	64.000000	Ada	12
